field,raw,count,auto_matched,score,canonical,review,evidence
Decisão,NEGADO PROVIMENTO. ALTERADA A DECISÃO.,61,0,0.41,Negar provimento,1,rule:multi-part
Decisão,REVISTA PROCEDENTE,61,0,0.45,Conceder provimento,0,rule
Decisão,CONCEDIDA A REVISTA. NEGADA A REVISTA.,57,0,0.38,Conceder provimento parcialmente,1,rule:multi-part
Decisão,ADMITIDA A REVISTA EXCECIONAL,56,0,0.31,Admitir,0,rule
Decisão,DECIDIDO CONHECER DO RECURSO.,56,0,0.36,Sem informação,0,rule
Decisão,REVISTA PROCEDENTE.,55,0,0.45,Conceder provimento,0,rule
Decisão,CONCEDIDA A REVISTA. REVOGADA A DECISÃO.,54,0,0.33,Conceder provimento,1,rule:multi-part
Decisão,CONCEDIDA A REVISTA. ORDENADA A BAIXA DO PROCESSO.,51,0,0.33,Conceder provimento,1,rule:multi-part
Decisão,Indeferida a reclamação,51,0,0.39,Indeferir,0,rule
Decisão,NÃO ADMITIDA A REVISTA EXCECIONAL,50,0,0.33,Não admitir,0,rule
Decisão,NÃO AUTORIZADA A REVISÃO,49,0,0.29,Negar provimento,0,rule
Decisão,INDEFERIMENTO,48,0,0.62,Indeferir,0,rule
Decisão,PROVIDO PARCIAL. NEGADO PROVIMENTO.,47,0,0.44,Conceder provimento parcialmente,1,rule:multi-part
Decisão,ADMITIDA A REVISTA EXCECIONAL.,46,0,0.31,Admitir,0,rule
Decisão,JULGAMENTO ANULADO,45,0,0.46,Anular,0,rule
Decisão,DEFERIMENTO.,44,0,0.55,Deferir,0,rule
Decisão,CONCEDIDA REVISTA,43,0,0.53,Conceder provimento,0,rule
Decisão,IMPROCEDÊNCIA/ NÃO DECRETAMENTO.,43,0,0.35,Negar provimento,0,rule
Decisão,PROVIDO. REVOGADA A DECISÃO.,43,0,0.30,Conceder provimento,1,rule:multi-part
Decisão,DECLARAÇÃO DE INCOMPETÊNCIA,41,0,0.78,Declarar incompetência,0,rule
Decisão,JULGADO O RECURSO IMPROCEDENTE.,41,0,0.33,Negar provimento,0,rule
Decisão,AUTORIZADA A REVISÃO,40,0,0.27,Conceder provimento,0,rule
Decisão,EXTINÇÃO DO PROCESSO.,39,0,0.35,Julgar extinta a instância,0,rule
Decisão,NEGADO PROVIMENTO. NEGADA A REVISTA.,39,0,0.43,Negar provimento,1,rule:multi-part
Decisão,PROVIDO. NEGADO PROVIMENTO.,39,0,0.58,Conceder provimento parcialmente,1,rule:multi-part
Decisão,DEFERIDO,38,0,0.75,Deferir,0,rule
Decisão,NÃO AUTORIZADA A REVISÃO.,38,0,0.29,Negar provimento,0,rule
Decisão,Indeferida a Reclamação,37,0,0.39,Indeferir,0,rule
Decisão,NÃO CONHECIMENTO DO RECURSO,37,0,0.44,Não conhecer,0,rule
